[cs-service][WARN] [2016-04-22 09:46:17] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysMenuMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysMenuMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 09:46:17] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysRoleMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysRoleMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 09:46:17] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysRoleMenuMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysRoleMenuMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 09:46:17] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysUserMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysUserMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 09:46:17] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysUserRoleMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysUserRoleMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 09:46:17] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'TUserCopyMapper' and 'com.leweiyou.service.mybatis.dao.x.TUserCopyMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 09:46:17] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'TUserLoginMapper' and 'com.leweiyou.service.mybatis.dao.x.TUserLoginMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 09:46:17] org.mybatis.spring.mapper.ClassPathMapperScanner.doScan(158) | No MyBatis mapper was found in '[com.leweiyou.service.mybatis.dao]' package. Please check your configuration.
[cs-service][INFO] [2016-04-22 09:46:17] com.leweiyou.tools.log.Logger.info(69) | Load env.cfg from dev path: /E:/workspace/cs-service/trunk/target/test-classes/../classes\env.cfg
[cs-service][INFO] [2016-04-22 09:46:17] com.leweiyou.tools.log.Logger.info(69) | Load env.cfg from dev path: /E:/workspace/cs-service/trunk/target/test-classes/../classes\env.cfg
[cs-service][INFO] [2016-04-22 09:46:17] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0' of type [class org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:17] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#1' of type [class org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:17] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.cache.annotation.AnnotationCacheOperationSource#0' of type [class org.springframework.cache.annotation.AnnotationCacheOperationSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
